Robot Gesture ID,Gesture Type,"Gesture Coordinates (x, y, z)",Timestamp,Gesture Duration (sec),Robot Status,Message ID,Sender,Receiver,Encryption Algorithm Used,Encryption Status,Network Latency (ms),Data Transfer Rate (Mbps),Threat Type,Threat Severity,Response Time (sec),Response Action Taken,Threat Detected
2,Cleaning,"(0.17, 0.72, 1.52)",2025-02-14 16:32:27,3.68,Idle,12838,Operator,Robot,Two Fish,Encrypted,13,53,Man-in-the-Middle Attack,Medium,2.33,Reset Encryption,1
1,Incision,"(0.85, 0.9, 1.04)",2025-02-14 16:32:27,1.76,Active,54918,Operator,Robot,Two Fish,Failed,16,24,No Threat,Low,0.0,None,0
5,Incision,"(1.73, 0.97, 1.44)",2025-02-14 16:32:27,3.76,Active,50931,Robot,Operator,Two Fish,Failed,9,69,Data Breach,Low,3.4,Reconnect Connection,1
4,Suturing,"(0.35, 1.34, 0.84)",2025-02-14 16:32:27,3.82,Active,55410,Robot,Operator,Two Fish,Failed,14,25,No Threat,Low,0.0,None,0
3,Incision,"(0.04, 1.28, 0.91)",2025-02-14 16:32:27,4.85,Active,52558,Operator,Robot,Two Fish,Failed,8,31,Data Breach,Low,1.94,Reset Encryption,1
7,Cleaning,"(1.64, 0.89, 0.92)",2025-02-14 16:32:27,2.9,Idle,15241,Robot,Operator,Two Fish,Failed,9,68,DoS Attack,Low,2.43,Reset Encryption,1
1,Cleaning,"(1.77, 0.15, 0.38)",2025-02-14 16:32:27,2.86,Active,76162,Operator,Robot,Two Fish,Encrypted,13,85,Data Breach,High,4.36,Reset Encryption,1
1,Suturing,"(1.85, 1.46, 1.33)",2025-02-14 16:32:27,1.15,Idle,89340,Robot,Operator,Two Fish,Failed,9,84,DoS Attack,Medium,4.07,Isolate Data,1
5,Cleaning,"(1.34, 0.75, 0.85)",2025-02-14 16:32:27,4.7,Idle,14884,Operator,Robot,Two Fish,Encrypted,7,100,Data Breach,High,3.08,Reconnect Connection,1
2,Navigation,"(1.75, 0.8, 1.92)",2025-02-14 16:32:27,3.91,Idle,91341,Robot,Operator,Two Fish,Failed,16,48,DoS Attack,Medium,3.63,Isolate Data,1
6,Diagnosis,"(0.16, 1.1, 0.04)",2025-02-14 16:32:27,3.77,Idle,80524,Robot,Operator,Two Fish,Encrypted,15,90,Data Breach,Medium,3.99,Reset Encryption,1
5,Incision,"(0.94, 1.61, 1.43)",2025-02-14 16:32:27,2.63,Active,89364,Robot,Operator,Two Fish,Failed,19,36,Data Breach,Medium,2.85,Reset Encryption,1
1,Cleaning,"(0.44, 1.67, 0.53)",2025-02-14 16:32:27,2.86,Idle,76131,Robot,Operator,Two Fish,Encrypted,6,74,Data Breach,High,2.22,Reconnect Connection,1
4,Cleaning,"(1.02, 1.84, 1.8)",2025-02-14 16:32:27,4.95,Active,61844,Robot,Operator,Two Fish,Failed,6,52,DoS Attack,High,2.71,Reset Encryption,1
9,Navigation,"(1.9, 0.21, 1.29)",2025-02-14 16:32:27,4.52,Idle,37259,Operator,Robot,Two Fish,Failed,16,63,Man-in-the-Middle Attack,Low,4.27,Reset Encryption,1
1,Suturing,"(1.24, 0.86, 0.38)",2025-02-14 16:32:27,4.53,Active,13691,Operator,Robot,Two Fish,Failed,14,38,DoS Attack,High,4.27,Reset Encryption,1
9,Cleaning,"(0.65, 1.32, 1.21)",2025-02-14 16:32:27,2.11,Active,35843,Operator,Robot,Two Fish,Failed,11,85,Data Breach,High,3.27,Reconnect Connection,1
5,Cleaning,"(0.55, 1.72, 1.69)",2025-02-14 16:32:27,1.61,Idle,39718,Operator,Robot,Two Fish,Encrypted,18,20,DoS Attack,Medium,2.13,Isolate Data,1
7,Diagnosis,"(1.12, 0.51, 1.05)",2025-02-14 16:32:27,2.43,Active,18056,Operator,Robot,Two Fish,Encrypted,18,21,Man-in-the-Middle Attack,Low,3.04,Isolate Data,1
1,Suturing,"(1.72, 0.38, 0.55)",2025-02-14 16:32:27,4.25,Active,13759,Operator,Robot,Two Fish,Failed,9,57,Data Breach,High,2.85,Reset Encryption,1
2,Cleaning,"(1.84, 0.0, 1.54)",2025-02-14 16:32:27,1.67,Active,99791,Robot,Operator,Two Fish,Failed,9,62,Data Breach,High,3.35,Reconnect Connection,1
10,Diagnosis,"(0.68, 1.47, 0.85)",2025-02-14 16:32:27,1.4,Idle,86714,Operator,Robot,Two Fish,Encrypted,12,57,No Threat,Medium,0.0,None,0
4,Suturing,"(1.57, 0.99, 1.9)",2025-02-14 16:32:27,4.69,Idle,34909,Robot,Operator,Two Fish,Encrypted,9,32,Data Breach,Low,3.7,Reset Encryption,1
5,Incision,"(0.67, 1.22, 0.6)",2025-02-14 16:32:27,4.78,Active,66830,Operator,Robot,Two Fish,Failed,10,58,Man-in-the-Middle Attack,High,4.35,Reset Encryption,1
5,Incision,"(0.27, 0.88, 1.62)",2025-02-14 16:32:27,2.75,Idle,81222,Operator,Robot,Two Fish,Failed,13,35,Data Breach,Low,1.24,Isolate Data,1
2,Diagnosis,"(1.92, 1.13, 1.96)",2025-02-14 16:32:27,2.04,Active,28999,Operator,Robot,Two Fish,Encrypted,10,21,Data Breach,Medium,4.38,Isolate Data,1
4,Suturing,"(1.47, 0.05, 1.49)",2025-02-14 16:32:27,2.1,Idle,57521,Robot,Operator,Two Fish,Encrypted,17,78,DoS Attack,Low,2.31,Isolate Data,1
7,Diagnosis,"(0.85, 0.2, 0.07)",2025-02-14 16:32:27,1.19,Active,25154,Operator,Robot,Two Fish,Failed,8,50,DoS Attack,Medium,2.78,Reset Encryption,1
10,Incision,"(0.73, 0.94, 0.14)",2025-02-14 16:32:27,2.6,Active,33132,Operator,Robot,Two Fish,Failed,17,47,No Threat,Low,0.0,None,0
9,Suturing,"(0.25, 1.06, 1.66)",2025-02-14 16:32:27,3.87,Active,11841,Operator,Robot,Two Fish,Failed,12,74,Data Breach,High,1.33,Reset Encryption,1
10,Cleaning,"(1.62, 1.73, 0.57)",2025-02-14 16:32:27,1.27,Idle,12653,Robot,Operator,Two Fish,Encrypted,10,49,Man-in-the-Middle Attack,Low,3.69,Reset Encryption,1
2,Suturing,"(0.44, 1.61, 1.51)",2025-02-14 16:32:27,3.88,Active,70305,Robot,Operator,Two Fish,Encrypted,17,66,No Threat,Low,0.0,None,0
5,Suturing,"(1.67, 0.14, 0.41)",2025-02-14 16:32:27,2.14,Idle,11781,Operator,Robot,Two Fish,Failed,8,84,DoS Attack,Medium,2.28,Reconnect Connection,1
6,Incision,"(0.41, 1.24, 0.85)",2025-02-14 16:32:27,4.48,Idle,29961,Robot,Operator,Two Fish,Encrypted,12,72,DoS Attack,High,4.38,Isolate Data,1
4,Diagnosis,"(0.4, 0.57, 0.19)",2025-02-14 16:32:27,2.85,Active,90046,Robot,Operator,Two Fish,Failed,9,72,Data Breach,High,2.51,Reconnect Connection,1
10,Cleaning,"(0.74, 0.01, 1.85)",2025-02-14 16:32:27,2.95,Active,45493,Operator,Robot,Two Fish,Failed,20,40,No Threat,Low,0.0,None,0
5,Incision,"(0.07, 1.32, 0.2)",2025-02-14 16:32:27,4.8,Active,75592,Robot,Operator,Two Fish,Encrypted,20,57,No Threat,Low,0.0,None,0
7,Diagnosis,"(0.6, 0.31, 1.14)",2025-02-14 16:32:27,3.06,Idle,20056,Robot,Operator,Two Fish,Failed,7,59,Man-in-the-Middle Attack,High,4.19,Reconnect Connection,1
4,Diagnosis,"(1.79, 1.91, 0.06)",2025-02-14 16:32:27,2.61,Idle,29271,Robot,Operator,Two Fish,Encrypted,11,64,No Threat,Low,0.0,None,0
5,Navigation,"(1.11, 0.58, 0.64)",2025-02-14 16:32:27,2.51,Idle,58282,Operator,Robot,Two Fish,Encrypted,13,54,Man-in-the-Middle Attack,Low,2.84,Isolate Data,1
9,Cleaning,"(1.97, 1.77, 0.98)",2025-02-14 16:32:27,1.56,Idle,18907,Operator,Robot,Two Fish,Failed,18,14,Data Breach,High,2.93,Isolate Data,1
10,Cleaning,"(0.28, 0.79, 1.32)",2025-02-14 16:32:27,3.27,Idle,44422,Robot,Operator,Two Fish,Encrypted,20,13,No Threat,Medium,0.0,None,0
9,Suturing,"(1.87, 1.74, 1.71)",2025-02-14 16:32:27,3.67,Active,98089,Robot,Operator,Two Fish,Failed,20,94,No Threat,Low,0.0,None,0
2,Incision,"(1.28, 0.72, 0.59)",2025-02-14 16:32:27,1.77,Active,54935,Operator,Robot,Two Fish,Encrypted,10,86,DoS Attack,High,3.58,Isolate Data,1
9,Diagnosis,"(1.86, 0.35, 0.68)",2025-02-14 16:32:27,1.61,Idle,59205,Robot,Operator,Two Fish,Encrypted,13,21,No Threat,High,0.0,None,0
8,Navigation,"(0.76, 1.69, 0.01)",2025-02-14 16:32:27,4.61,Idle,91264,Operator,Robot,Two Fish,Encrypted,8,14,No Threat,High,0.0,None,0
8,Incision,"(1.33, 1.43, 0.53)",2025-02-14 16:32:27,1.93,Active,67101,Operator,Robot,Two Fish,Encrypted,11,14,No Threat,High,0.0,None,0
7,Diagnosis,"(0.75, 1.22, 0.83)",2025-02-14 16:32:27,2.91,Active,40216,Robot,Operator,Two Fish,Failed,15,12,DoS Attack,Low,3.56,Reset Encryption,1
1,Diagnosis,"(0.77, 1.27, 1.85)",2025-02-14 16:32:27,2.53,Idle,74153,Operator,Robot,Two Fish,Failed,12,74,Man-in-the-Middle Attack,High,3.74,Reconnect Connection,1
2,Cleaning,"(0.72, 1.88, 1.01)",2025-02-14 16:32:27,3.91,Idle,22712,Robot,Operator,Two Fish,Encrypted,20,80,Man-in-the-Middle Attack,High,2.07,Isolate Data,1
1,Diagnosis,"(0.02, 0.22, 0.84)",2025-02-14 16:32:27,1.63,Idle,68543,Operator,Robot,Two Fish,Encrypted,20,33,No Threat,Low,0.0,None,0
9,Incision,"(1.9, 0.64, 0.33)",2025-02-14 16:32:27,1.27,Active,75299,Operator,Robot,Two Fish,Encrypted,17,87,No Threat,High,0.0,None,0
9,Diagnosis,"(1.81, 1.03, 1.15)",2025-02-14 16:32:27,1.33,Idle,88507,Robot,Operator,Two Fish,Failed,10,24,DoS Attack,High,1.92,Reconnect Connection,1
9,Suturing,"(0.37, 1.07, 1.0)",2025-02-14 16:32:27,2.0,Idle,85035,Operator,Robot,Two Fish,Encrypted,7,79,Man-in-the-Middle Attack,Low,1.37,Isolate Data,1
4,Diagnosis,"(1.35, 0.35, 0.5)",2025-02-14 16:32:27,1.77,Active,55907,Operator,Robot,Two Fish,Encrypted,10,21,Data Breach,Low,3.44,Reset Encryption,1
10,Navigation,"(1.32, 0.34, 0.71)",2025-02-14 16:32:27,4.23,Active,27813,Robot,Operator,Two Fish,Encrypted,11,32,Man-in-the-Middle Attack,High,2.36,Reconnect Connection,1
4,Incision,"(0.04, 1.2, 0.35)",2025-02-14 16:32:27,1.02,Active,57977,Operator,Robot,Two Fish,Encrypted,14,89,DoS Attack,Low,2.83,Isolate Data,1
4,Navigation,"(0.79, 1.36, 0.16)",2025-02-14 16:32:27,3.13,Active,72574,Operator,Robot,Two Fish,Encrypted,7,48,No Threat,Low,0.0,None,0
4,Navigation,"(1.31, 0.44, 0.12)",2025-02-14 16:32:27,3.13,Idle,65496,Robot,Operator,Two Fish,Encrypted,6,72,No Threat,Medium,0.0,None,0
2,Suturing,"(1.43, 1.51, 1.76)",2025-02-14 16:32:27,2.65,Idle,38577,Robot,Operator,Two Fish,Encrypted,19,51,No Threat,Low,0.0,None,0
1,Incision,"(1.09, 1.95, 1.41)",2025-02-14 16:32:27,3.08,Active,54841,Operator,Robot,Two Fish,Failed,7,41,Man-in-the-Middle Attack,High,3.19,Isolate Data,1
1,Incision,"(1.89, 0.02, 0.3)",2025-02-14 16:32:27,4.69,Active,86544,Operator,Robot,Two Fish,Failed,9,49,DoS Attack,Medium,1.43,Reset Encryption,1
9,Suturing,"(1.12, 1.84, 0.61)",2025-02-14 16:32:27,2.11,Active,83787,Robot,Operator,Two Fish,Failed,19,97,No Threat,Low,0.0,None,0
1,Suturing,"(0.24, 1.14, 1.36)",2025-02-14 16:32:27,1.45,Active,74900,Operator,Robot,Two Fish,Encrypted,10,65,No Threat,Low,0.0,None,0
4,Cleaning,"(1.0, 1.65, 0.74)",2025-02-14 16:32:27,3.53,Active,85713,Operator,Robot,Two Fish,Failed,5,13,Data Breach,Medium,4.16,Reset Encryption,1
4,Incision,"(0.45, 0.74, 0.07)",2025-02-14 16:32:27,2.47,Idle,74593,Robot,Operator,Two Fish,Encrypted,11,39,Man-in-the-Middle Attack,Low,4.12,Isolate Data,1
7,Cleaning,"(1.91, 1.85, 1.74)",2025-02-14 16:32:27,2.16,Idle,14186,Operator,Robot,Two Fish,Failed,18,60,DoS Attack,Low,3.72,Reconnect Connection,1
1,Diagnosis,"(0.99, 1.93, 0.81)",2025-02-14 16:32:27,3.52,Active,55219,Operator,Robot,Two Fish,Failed,14,62,Man-in-the-Middle Attack,Medium,4.99,Isolate Data,1
10,Incision,"(1.03, 1.56, 1.18)",2025-02-14 16:32:27,4.35,Active,89578,Operator,Robot,Two Fish,Encrypted,20,80,No Threat,High,0.0,None,0
5,Cleaning,"(1.11, 1.92, 0.05)",2025-02-14 16:32:27,1.94,Active,78792,Robot,Operator,Two Fish,Encrypted,20,40,Data Breach,High,4.23,Reconnect Connection,1
5,Incision,"(0.69, 0.98, 1.48)",2025-02-14 16:32:27,2.4,Idle,82033,Operator,Robot,Two Fish,Encrypted,19,92,Data Breach,Low,2.78,Reset Encryption,1
10,Cleaning,"(1.98, 0.16, 0.24)",2025-02-14 16:32:27,1.77,Idle,92652,Operator,Robot,Two Fish,Encrypted,19,44,No Threat,Medium,0.0,None,0
9,Cleaning,"(0.76, 0.79, 0.03)",2025-02-14 16:32:27,3.4,Active,31899,Robot,Operator,Two Fish,Failed,9,30,No Threat,Medium,0.0,None,0
9,Suturing,"(0.66, 1.69, 0.75)",2025-02-14 16:32:27,2.35,Active,19210,Operator,Robot,Two Fish,Encrypted,16,84,Man-in-the-Middle Attack,Low,4.95,Isolate Data,1
5,Cleaning,"(1.22, 0.17, 0.56)",2025-02-14 16:32:27,1.72,Active,34062,Robot,Operator,Two Fish,Encrypted,7,28,No Threat,Low,0.0,None,0
7,Incision,"(1.63, 1.2, 0.63)",2025-02-14 16:32:27,3.93,Idle,15829,Robot,Operator,Two Fish,Failed,14,46,Data Breach,Medium,4.86,Reset Encryption,1
10,Incision,"(1.93, 0.7, 1.88)",2025-02-14 16:32:27,2.96,Idle,34401,Operator,Robot,Two Fish,Encrypted,18,97,No Threat,Low,0.0,None,0
2,Navigation,"(0.12, 0.38, 0.3)",2025-02-14 16:32:27,1.45,Idle,12305,Operator,Robot,Two Fish,Failed,16,57,No Threat,Low,0.0,None,0
8,Cleaning,"(0.32, 0.07, 0.01)",2025-02-14 16:32:27,1.62,Active,90545,Robot,Operator,Two Fish,Failed,8,13,Man-in-the-Middle Attack,High,2.02,Reconnect Connection,1
8,Navigation,"(1.04, 0.24, 0.94)",2025-02-14 16:32:27,1.42,Idle,93267,Operator,Robot,Two Fish,Failed,6,67,Man-in-the-Middle Attack,High,4.63,Reconnect Connection,1
9,Navigation,"(0.84, 0.64, 0.59)",2025-02-14 16:32:27,1.21,Idle,17731,Operator,Robot,Two Fish,Encrypted,11,69,Data Breach,Medium,2.12,Reset Encryption,1
9,Incision,"(0.48, 1.1, 0.17)",2025-02-14 16:32:27,2.95,Idle,69373,Robot,Operator,Two Fish,Encrypted,14,22,Man-in-the-Middle Attack,Medium,4.69,Isolate Data,1
2,Navigation,"(1.16, 0.14, 0.06)",2025-02-14 16:32:27,1.55,Idle,28313,Operator,Robot,Two Fish,Encrypted,7,92,No Threat,Medium,0.0,None,0
8,Cleaning,"(0.32, 1.21, 1.44)",2025-02-14 16:32:27,4.44,Idle,75924,Operator,Robot,Two Fish,Encrypted,16,58,DoS Attack,Medium,4.93,Isolate Data,1
8,Suturing,"(1.32, 0.36, 1.97)",2025-02-14 16:32:27,3.15,Active,29413,Robot,Operator,Two Fish,Encrypted,15,45,No Threat,Medium,0.0,None,0
2,Cleaning,"(0.87, 1.2, 1.99)",2025-02-14 16:32:27,1.28,Active,52645,Robot,Operator,Two Fish,Failed,20,94,Man-in-the-Middle Attack,High,3.9,Reconnect Connection,1
6,Suturing,"(1.0, 1.65, 1.14)",2025-02-14 16:32:27,2.23,Active,10224,Operator,Robot,Two Fish,Failed,9,45,No Threat,High,0.0,None,0
3,Cleaning,"(1.96, 1.4, 1.21)",2025-02-14 16:32:27,4.21,Idle,75126,Robot,Operator,Two Fish,Failed,14,85,No Threat,High,0.0,None,0
5,Suturing,"(0.46, 1.5, 0.86)",2025-02-14 16:32:27,2.78,Idle,39024,Robot,Operator,Two Fish,Failed,8,66,DoS Attack,Medium,3.09,Reset Encryption,1
1,Incision,"(1.84, 0.48, 1.99)",2025-02-14 16:32:27,4.55,Idle,80358,Robot,Operator,Two Fish,Encrypted,6,87,DoS Attack,High,2.46,Reset Encryption,1
6,Diagnosis,"(1.62, 0.62, 1.46)",2025-02-14 16:32:27,2.16,Active,42163,Robot,Operator,Two Fish,Failed,20,47,Man-in-the-Middle Attack,Medium,1.75,Isolate Data,1
6,Diagnosis,"(1.99, 0.93, 0.09)",2025-02-14 16:32:27,4.66,Active,24446,Robot,Operator,Two Fish,Encrypted,8,41,No Threat,High,0.0,None,0
7,Diagnosis,"(1.06, 1.98, 1.79)",2025-02-14 16:32:27,1.5,Idle,39329,Operator,Robot,Two Fish,Failed,14,43,DoS Attack,Low,1.06,Isolate Data,1
10,Cleaning,"(1.0, 1.92, 1.78)",2025-02-14 16:32:27,3.98,Active,47235,Robot,Operator,Two Fish,Encrypted,17,45,Man-in-the-Middle Attack,Medium,3.75,Reset Encryption,1
4,Navigation,"(1.47, 1.2, 0.26)",2025-02-14 16:32:27,1.33,Idle,16377,Operator,Robot,Two Fish,Encrypted,14,16,No Threat,Low,0.0,None,0
6,Diagnosis,"(0.33, 1.49, 0.71)",2025-02-14 16:32:27,3.1,Active,40487,Operator,Robot,Two Fish,Encrypted,13,49,Man-in-the-Middle Attack,Low,3.91,Reset Encryption,1
9,Navigation,"(1.41, 1.58, 1.72)",2025-02-14 16:32:27,1.83,Active,43050,Robot,Operator,Two Fish,Failed,20,84,Man-in-the-Middle Attack,High,1.04,Reset Encryption,1
